6.303165146435865118e-01,2.063604063491465412e-01
5.144148457027682975e-01,2.275992329900500266e-01
4.732804946699704640e-01,1.018968989950358450e-01
7.399557307414147411e-01,3.013268970626675758e-01
7.420504809941742552e-01,8.376322106096854014e-01
5.364190904338167476e-01,5.155487445803881297e-01
2.096520825187103698e-01,6.660187922365645719e-01
4.518406063612804280e-01,5.605822081286395697e-01
3.151080843846462143e-01,8.668359111450741894e-01
7.926342791172810154e-01,3.445311539594887451e-01
7.365085455475538501e-01,5.176055604191434067e-01
5.217300891921827777e-02,7.285274593334146731e-01
1.098258360787139898e-01,2.652038899204411937e-02
3.770815559301348152e-01,3.929630063489997216e-02
1.486716431894421486e-01,7.054678980826456502e-03
7.451565332138646580e-01,6.617303779050143220e-01
4.857284117763583930e-01,5.292533787656729105e-01
9.540172423455052231e-01,2.724484075178059683e-01
4.624880210640400779e-01,4.555550825598742026e-01
4.678656593542037667e-01,5.530795792991078930e-01
6.758798788511873878e-01,4.230790814832674496e-01
1.781475384772870374e-01,2.363511656810478589e-01
7.145044087572871572e-01,8.735323281406875973e-01
2.613236136006307220e-01,5.487655364500014787e-01
8.586071103567600726e-01,8.966186343750569554e-01
